;DE - Alemanha;AT - Áustria;BE - Bélgica;BG - Bulgária;CY - Chipre;HR - Croácia;DK - Dinamarca;SK - Eslováquia;SI - Eslovénia;ES - Espanha;EE - Estónia;FI - Finlândia;FR - França;GR - Grécia;HU - Hungria;IE - Irlanda;IT - Itália;LV - Letónia;LT - Lituânia;LU - Luxemburgo;MT - Malta;NL - Países Baixos;PL - Polónia;PT - Portugal;CZ - República Checa;RO - Roménia;SE - Suécia;IS - Islândia;NO - Noruega
2000; 82 211 508; 8 011 566; 10 251 250; 8 170 172; 694 023;┴ s 4 396 571; 5 339 616; 5 388 720; 1 988 925; 40 567 864; 1 396 985; 5 176 209; 60 762 169; 10 805 808; 10 210 971; 3 805 174; 56 942 108; 2 367 550; 3 499 536; 436 300; 390 087; 15 925 513;┴  38 258 629; 10 289 898; 10 255 063; 22 442 971; 8 872 109; 281 205; 4 490 967
2001; 82 349 925; 8 042 293; 10 286 570; 8 009 142; 701 544;┴  4 300 450; 5 358 783; 5 378 867; 1 992 060; 40 850 412; 1 388 115; 5 188 008; 61 201 676; 10 862 132; 10 187 576; 3 866 243; 56 974 100; 2 337 170; 3 470 818; 441 525; 393 028; 16 046 180; 38 248 076; 10 362 722; 10 216 605; 22 131 970; 8 895 960; 284 968; 4 513 751
2002; 82 488 495; 8 081 957; 10 332 785; 7 837 161; 709 630; 4 305 439; 5 375 931; 5 376 912; 1 994 530; 41 431 558; 1 379 350; 5 200 598; 61 644 062; 10 902 022; 10 158 608; 3 931 947; 57 059 007; 2 310 173; 3 443 067; 446 175; 395 969; 16 148 929; 38 230 364; 10 419 631; 10 196 916; 21 730 496; 8 924 958; 287 523; 4 538 159
2003; 82 534 176; 8 121 423; 10 376 133; 7 775 327; 718 307; 4 305 555; 5 390 574; 5 373 374; 1 995 733; 42 187 645; 1 370 720; 5 213 014; 62 078 165; 10 928 070; 10 129 552; 3 996 521; 57 313 203; 2 287 955; 3 415 213; 451 630; 398 582; 16 225 302; 38 204 570; 10 458 821; 10 193 998; 21 574 326; 8 958 229; 289 521; 4 564 855
2004; 82 516 260; 8 171 966; 10 421 137; 7 716 860; 727 980; 4 308 293; 5 404 523; 5 372 280; 1 997 012; 42 921 895; 1 362 550; 5 228 172; 62 532 556; 10 955 141; 10 107 146; 4 070 262; 57 685 327; 2 263 122; 3 377 075; 458 095; 401 268; 16 281 779; 38 182 222; 10 483 861; 10 197 101; 21 451 748; 8 993 531; 292 074; 4 591 910
2005; 82 469 422; 8 227 829; 10 478 617; 7 658 972; 738 540; 4 311 674; 5 419 432; 5 372 807; 2 000 474; 43 653 155; 1 354 775; 5 246 096; 63 001 253; 10 987 314; 10 087 065; 4 159 914; 57 969 484; 2 238 799; 3 322 528; 465 158; 403 834; 16 319 868; 38 165 445; 10 503 330; 10 211 216; 21 319 685; 9 029 572; 296 734; 4 623 291
2006; 82 376 451; 8 268 641; 10 547 958; 7 601 022; 750 965; 4 313 009; 5 437 272; 5 373 054; 2 006 868; 44 397 319; 1 346 810; 5 266 268; 63 437 350; 11 020 362; 10 071 370; 4 274 137; 58 143 979; 2 218 357; 3 269 909; 472 637; 405 308; 16 346 101; 38 141 267; 10 522 288; 10 238 905; 21 193 760; 9 080 505; 303 782; 4 660 677
2007; 82 266 372; 8 295 487; 10 625 700; 7 545 338; 767 125; 4 312 749; 5 461 438; 5 374 622;┴  2 010 323; 45 226 803; 1 340 680; 5 288 720; 63 826 129; 11 048 473; 10 055 780; 4 398 942; 58 438 310; 2 200 325; 3 231 294; 479 993; 406 724; 16 381 696; 38 120 560; 10 542 964; 10 298 828; 20 882 982; 9 148 092; 311 566; 4 709 153
2008; 82 110 097; 8 321 496; 10 709 973; 7 492 561; 786 632; 4 310 882; 5 493 621; 5 379 233;┴  2 021 316; 45 954 106; 1 337 090; 5 313 399; 64 178 710; 11 077 841; 10 038 188; 4 489 544; 58 826 731; 2 177 322; 3 198 231; 488 650; 409 379; 16 445 593; 38 125 759; 10 558 177; 10 384 603; 20 537 875; 9 219 637; 317 414; 4 768 212
2009; 81 902 307; 8 343 323; 10 796 493; 7 444 443; 808 035; 4 306 322; 5 523 095; 5 386 406; 2 039 669; 46 362 946; 1 334 515; 5 338 871; 64 504 541; 11 107 017; 10 022 650; 4 535 375; 59 095 365; 2 141 669; 3 162 916; 497 783; 412 477; 16 530 388;┴  38 079 373; 10 568 247; 10 443 936; 20 367 487; 9 298 515; 318 499; 4 828 726
